age_group,gender,personality_type,habit_name,frequency_per_week,duration_minutes,motivation_level,past_consistency,success_likelihood
Senior,Other,Ambivert,Cook a new recipe,3,13,Medium,High,Unlikely
Teen,Male,Extrovert,Walk the dog,6,39,Medium,High,Likely
Senior,Other,Extrovert,Read a book,2,59,Medium,Medium,Unlikely
Senior,Male,Introvert,Walk the dog,7,32,Low,Medium,Unlikely
Teen,Other,Extrovert,Write journal,4,41,Medium,High,Likely
Teen,Other,Extrovert,Cook a new recipe,2,51,High,Medium,Likely
Senior,Male,Ambivert,Sketch something,1,13,Medium,High,Unlikely
Adult,Other,Extrovert,Sketch something,3,6,Low,Low,Unlikely
Senior,Female,Ambivert,Practice guitar,2,7,Low,High,Unlikely
Senior,Male,Extrovert,Read a book,2,57,Medium,High,Likely
Senior,Female,Extrovert,Write journal,6,48,Medium,Medium,Unlikely
Senior,Male,Extrovert,Meditate,7,52,Medium,Medium,Unlikely
Teen,Other,Introvert,Walk the dog,1,9,Medium,Low,Unlikely
Senior,Other,Ambivert,Do yoga,5,14,Low,Low,Unlikely
Adult,Other,Introvert,Go for a run,3,32,Medium,Low,Unlikely
Teen,Male,Extrovert,Meditate,6,19,Low,High,Likely
Adult,Female,Introvert,Practice guitar,7,18,Low,Low,Unlikely
Adult,Female,Ambivert,Walk the dog,7,50,High,Low,Likely
Adult,Male,Extrovert,Do yoga,2,27,Low,Medium,Unlikely
Adult,Male,Introvert,Practice guitar,3,17,Medium,Medium,Unlikely
Teen,Female,Introvert,Go for a run,5,20,Medium,Low,Unlikely
Teen,Female,Ambivert,Cook a new recipe,7,34,Medium,Low,Unlikely
Adult,Female,Introvert,Read a book,2,44,Medium,High,Likely
Adult,Female,Ambivert,Cook a new recipe,7,12,High,High,Very Likely
Teen,Male,Extrovert,Do yoga,1,21,High,Medium,Unlikely
Teen,Male,Extrovert,Cook a new recipe,7,34,High,Low,Likely
Teen,Other,Introvert,Do yoga,3,21,High,Low,Unlikely
Senior,Female,Extrovert,Write journal,7,39,Low,Low,Unlikely
Senior,Other,Extrovert,Write journal,7,5,High,Low,Likely
Senior,Male,Introvert,Study 1 hour,6,53,Low,Low,Unlikely
Adult,Male,Extrovert,Study 1 hour,1,28,Medium,High,Unlikely
Senior,Other,Introvert,Cook a new recipe,5,52,Low,High,Likely
Adult,Female,Ambivert,Sketch something,5,53,Low,Low,Unlikely
Adult,Female,Ambivert,Cook a new recipe,3,29,High,High,Likely
Senior,Female,Ambivert,Cook a new recipe,5,6,Medium,High,Likely
Adult,Female,Introvert,Sketch something,4,29,Medium,Low,Unlikely
Senior,Other,Introvert,Read a book,6,18,High,High,Very Likely
Senior,Other,Extrovert,Walk the dog,3,43,Low,Low,Unlikely
Teen,Male,Extrovert,Sketch something,7,55,High,High,Very Likely
Senior,Female,Extrovert,Do yoga,4,37,Low,Low,Unlikely
Teen,Female,Extrovert,Walk the dog,5,21,High,Low,Likely
Senior,Female,Extrovert,Go for a run,7,35,High,High,Very Likely
Senior,Other,Introvert,Read a book,3,14,Medium,High,Unlikely
Teen,Female,Introvert,Go for a run,4,10,Medium,Medium,Unlikely
Teen,Other,Ambivert,Study 1 hour,5,43,Medium,Low,Unlikely
Senior,Female,Ambivert,Meditate,2,29,High,Low,Unlikely
Adult,Female,Ambivert,Write journal,2,42,Medium,Low,Unlikely
Teen,Male,Ambivert,Go for a run,1,41,Medium,Low,Unlikely
Adult,Female,Introvert,Practice guitar,2,34,High,High,Very Likely
Adult,Female,Introvert,Cook a new recipe,4,38,Medium,High,Likely
Adult,Male,Introvert,Do yoga,6,22,Low,Medium,Unlikely
Teen,Other,Extrovert,Go for a run,2,28,Medium,Low,Unlikely
Adult,Other,Extrovert,Go for a run,3,53,Low,Medium,Unlikely
Teen,Female,Ambivert,Meditate,3,60,Medium,Medium,Unlikely
Adult,Other,Extrovert,Study 1 hour,3,31,High,Medium,Likely
Senior,Female,Introvert,Cook a new recipe,2,31,High,Medium,Likely
Senior,Male,Ambivert,Cook a new recipe,7,59,Medium,Medium,Unlikely
Teen,Male,Ambivert,Meditate,2,43,Low,High,Likely
Senior,Female,Extrovert,Sketch something,1,25,Medium,High,Unlikely
Senior,Male,Ambivert,Meditate,6,23,High,Medium,Likely
Adult,Male,Extrovert,Practice guitar,7,43,Medium,High,Likely
Teen,Female,Extrovert,Walk the dog,6,27,High,High,Very Likely
Adult,Female,Ambivert,Practice guitar,7,43,Low,Medium,Unlikely
Adult,Male,Extrovert,Meditate,7,52,Low,High,Likely
Adult,Other,Extrovert,Write journal,5,48,High,High,Very Likely
Adult,Other,Extrovert,Sketch something,1,51,Low,Low,Unlikely
Adult,Female,Extrovert,Write journal,4,19,High,Medium,Unlikely
Adult,Female,Ambivert,Practice guitar,3,47,High,Low,Likely
Adult,Other,Introvert,Cook a new recipe,2,6,High,Low,Unlikely
Teen,Male,Introvert,Practice guitar,5,39,Medium,Medium,Unlikely
Senior,Other,Extrovert,Read a book,5,55,Low,Low,Unlikely
Adult,Other,Extrovert,Study 1 hour,7,24,Medium,Low,Unlikely
Adult,Other,Extrovert,Do yoga,2,32,Medium,High,Likely
Adult,Other,Introvert,Read a book,1,19,Low,Low,Unlikely
Adult,Female,Extrovert,Meditate,5,20,Medium,Medium,Unlikely
Adult,Female,Ambivert,Go for a run,6,37,High,High,Very Likely
Adult,Male,Ambivert,Write journal,1,51,Medium,High,Likely
Senior,Male,Ambivert,Walk the dog,2,16,High,High,Likely
Senior,Male,Introvert,Read a book,7,43,Low,Medium,Unlikely
Adult,Male,Extrovert,Sketch something,1,43,Medium,Medium,Unlikely
Senior,Other,Extrovert,Write journal,7,47,Low,Medium,Unlikely
Teen,Female,Extrovert,Read a book,6,24,High,Low,Likely
Adult,Female,Introvert,Cook a new recipe,3,33,Medium,Low,Unlikely
Teen,Male,Introvert,Do yoga,7,47,High,High,Very Likely
Teen,Male,Introvert,Practice guitar,7,53,High,High,Very Likely
Adult,Other,Introvert,Practice guitar,2,7,High,Medium,Unlikely
Senior,Other,Ambivert,Read a book,6,52,Low,Medium,Unlikely
Teen,Male,Introvert,Meditate,2,9,Low,Low,Unlikely
Adult,Female,Introvert,Sketch something,6,6,Low,Low,Unlikely
Teen,Female,Introvert,Meditate,6,27,Medium,Medium,Unlikely
